id,playlist_name,track_name,artist,album,popularity,duration_minutes
1,My playlist #4,I Wanna Be Yours,Arctic Monkeys,AM,91,3.06593
2,My playlist #4,Summertime Sadness,Lana Del Rey,Born To Die - The Paradise Edition,84,4.42378
3,My playlist #4,Let Her Go,Passenger,All the Little Lights (Deluxe),76,4.21222
4,My playlist #4,Way down We Go,KALEO,A/B,83,3.56177
5,My playlist #4,Love Story,Indila,Mini World,77,5.27133
6,My playlist #4,Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven,84,3.48593
7,My playlist #4,Cupid's Chokehold / Breakfast in America,Gym Class Heroes,The Papercut Chronicles,76,4.06288
8,My playlist #4,7 Years - Sped Up Version,sped up + nightcore,Dance Covers,42,3.31667
9,My playlist #4,Mary On A Cross,Ghost,Seven Inches Of Satanic Panic,5,4.08007
10,My playlist #4,Cheri Cheri Lady,Modern Talking,Let's Talk About Love,80,3.77222
11,My playlist #4,Teenage Dream,Stephen Dawes,Teenage Dream,66,2.96667
12,My playlist #4,Hurt,Johnny Cash,American IV: The Man Comes Around,74,3.60888
13,My playlist #4,The Night We Met,Lord Huron,Strange Trails,90,3.47018
14,My playlist #4,"Don't Go, Don't Leave",Hayd,"Don’t Go, Don’t Leave",41,3.26098
15,My playlist #4,Counting Stars,OneRepublic,Native,87,4.28775
16,My playlist #4,Bloody Mary - Slowed & Reverb,Polsas,Bloody Mary (Slowed & Reverb),48,3.81405
17,My playlist #4,Superman,Eminem,The Eminem Show,82,5.83867
18,My playlist #4,In The End,Tommee Profitt,In The End,56,3.91192
19,My playlist #4,I Wanna Be Yours,Arctic Monkeys,AM,91,3.06593
20,My playlist #4,Summertime Sadness,Lana Del Rey,Born To Die - The Paradise Edition,84,4.42378
21,My playlist #4,Let Her Go,Passenger,All the Little Lights (Deluxe),76,4.21222
22,My playlist #4,Way down We Go,KALEO,A/B,83,3.56177
23,My playlist #4,Love Story,Indila,Mini World,77,5.27133
24,My playlist #4,Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven,84,3.48593
25,My playlist #4,Cupid's Chokehold / Breakfast in America,Gym Class Heroes,The Papercut Chronicles,76,4.06288
26,My playlist #4,7 Years - Sped Up Version,sped up + nightcore,Dance Covers,42,3.31667
27,My playlist #4,Mary On A Cross,Ghost,Seven Inches Of Satanic Panic,5,4.08007
28,My playlist #4,Cheri Cheri Lady,Modern Talking,Let's Talk About Love,80,3.77222
29,My playlist #4,Teenage Dream,Stephen Dawes,Teenage Dream,66,2.96667
30,My playlist #4,Hurt,Johnny Cash,American IV: The Man Comes Around,74,3.60888
31,My playlist #4,The Night We Met,Lord Huron,Strange Trails,90,3.47018
32,My playlist #4,"Don't Go, Don't Leave",Hayd,"Don’t Go, Don’t Leave",41,3.26098
33,My playlist #4,Counting Stars,OneRepublic,Native,87,4.28775
34,My playlist #4,Bloody Mary - Slowed & Reverb,Polsas,Bloody Mary (Slowed & Reverb),48,3.81405
35,My playlist #4,Superman,Eminem,The Eminem Show,82,5.83867
36,My playlist #4,In The End,Tommee Profitt,In The End,56,3.91192
37,My playlist #4,I Wanna Be Yours,Arctic Monkeys,AM,91,3.06593
38,My playlist #4,Summertime Sadness,Lana Del Rey,Born To Die - The Paradise Edition,84,4.42378
39,My playlist #4,Let Her Go,Passenger,All the Little Lights (Deluxe),76,4.21222
40,My playlist #4,Way down We Go,KALEO,A/B,83,3.56177
41,My playlist #4,Love Story,Indila,Mini World,77,5.27133
42,My playlist #4,Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven,84,3.48593
43,My playlist #4,Cupid's Chokehold / Breakfast in America,Gym Class Heroes,The Papercut Chronicles,76,4.06288
44,My playlist #4,7 Years - Sped Up Version,sped up + nightcore,Dance Covers,42,3.31667
45,My playlist #4,Mary On A Cross,Ghost,Seven Inches Of Satanic Panic,5,4.08007
46,My playlist #4,Cheri Cheri Lady,Modern Talking,Let's Talk About Love,80,3.77222
47,My playlist #4,Teenage Dream,Stephen Dawes,Teenage Dream,66,2.96667
48,My playlist #4,Hurt,Johnny Cash,American IV: The Man Comes Around,74,3.60888
49,My playlist #4,The Night We Met,Lord Huron,Strange Trails,90,3.47018
50,My playlist #4,"Don't Go, Don't Leave",Hayd,"Don’t Go, Don’t Leave",41,3.26098
51,My playlist #4,Counting Stars,OneRepublic,Native,87,4.28775
52,My playlist #4,Bloody Mary - Slowed & Reverb,Polsas,Bloody Mary (Slowed & Reverb),48,3.81405
53,My playlist #4,Superman,Eminem,The Eminem Show,82,5.83867
54,My playlist #4,In The End,Tommee Profitt,In The End,56,3.91192
